timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759566985672,27,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,1,1,http://localhost:8080/api/logs/search?q=error&size=50,24,0,15
1759566986078,9,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,1,1,http://localhost:8080/api/logs/count?q=error,9,0,0
1759566986385,4,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,4,0,0
1759566986489,4,GET /api/logs/search,200,,Searchers 1-2,text,true,,462,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,4,0,0
1759566986715,4,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,2,2,http://localhost:8080/api/logs/count?q=error,4,0,0
1759566986818,4,GET /api/logs/count,200,,Searchers 1-2,text,true,,461,134,2,2,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566987109,5,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,5,0,0
1759566987282,4,GET /api/logs/search,200,,Searchers 1-2,text,true,,462,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,4,0,0
1759566987511,3,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,3,3,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566987537,3,GET /api/logs/count,200,,Searchers 1-2,text,true,,461,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566987607,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,462,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,3,0,1
1759566987790,3,GET /api/logs/search,200,,Searchers 1-2,text,true,,462,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566987852,3,GET /api/logs/count,200,,Searchers 1-3,text,true,,461,134,3,3,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566987936,3,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566988089,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,462,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566988240,4,GET /api/logs/count,200,,Searchers 1-2,text,true,,461,134,4,4,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566988322,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566988380,4,GET /api/logs/count,200,,Searchers 1-3,text,true,,461,134,4,4,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566988506,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,462,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566988584,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,462,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566988612,3,GET /api/logs/search,200,,Searchers 1-4,text,true,,462,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566988629,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566988713,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,461,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566988904,3,GET /api/logs/count,200,,Searchers 1-3,text,true,,461,134,4,4,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566989039,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566989084,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,462,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566989109,3,GET /api/logs/count,200,,Searchers 1-4,text,true,,461,134,4,4,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566989281,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,462,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566989406,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566989430,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,462,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566989531,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,461,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566989604,3,GET /api/logs/search,200,,Searchers 1-5,text,true,,462,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,3,0,1
1759566989725,3,GET /api/logs/count,200,,Searchers 1-3,text,true,,461,134,5,5,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566989746,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,461,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566989829,2,GET /api/logs/count,200,,Searchers 1-5,text,true,,461,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566989831,4,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,5,5,http://localhost:8080/api/logs/count?q=error,4,0,0
1759566989949,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,462,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566990048,3,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566990058,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,462,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566990121,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,462,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566990191,3,GET /api/logs/count,200,,Searchers 1-2,text,true,,461,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566990243,3,GET /api/logs/search,200,,Searchers 1-5,text,true,,462,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566990309,4,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,6,6,http://localhost:8080/api/logs/count?q=error,4,0,0
1759566990396,3,GET /api/logs/count,200,,Searchers 1-4,text,true,,461,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566990499,3,GET /api/logs/search,200,,Searchers 1-6,text,true,,462,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566990517,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,461,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566990593,3,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566990594,3,GET /api/logs/search,200,,Searchers 1-2,text,true,,462,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566990615,2,GET /api/logs/count,200,,Searchers 1-5,text,true,,461,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566990797,4,GET /api/logs/search,200,,Searchers 1-4,text,true,,462,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,4,0,0
1759566990884,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,462,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566990886,3,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,6,6,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566990913,3,GET /api/logs/count,200,,Searchers 1-6,text,true,,461,134,6,6,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566991022,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,461,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566991055,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,462,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566991110,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,461,134,6,6,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566991207,2,GET /api/logs/search,200,,Searchers 1-6,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566991254,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,461,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566991304,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566991364,4,GET /api/logs/search,200,,Searchers 1-7,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,1
1759566991365,3,GET /api/logs/search,200,,Searchers 1-3,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759566991395,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566991402,2,GET /api/logs/count,200,,Searchers 1-5,text,true,,461,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566991496,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566991518,3,GET /api/logs/count,200,,Searchers 1-6,text,true,,461,134,7,7,http://localhost:8080/api/logs/count?q=error,3,0,0
1759566991618,1,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,7,7,http://localhost:8080/api/logs/count?q=error,1,0,0
1759566991656,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566991740,2,GET /api/logs/count,200,,Searchers 1-7,text,true,,461,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566991751,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,461,134,7,7,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566991778,1,GET /api/logs/count,200,,Searchers 1-2,text,true,,461,134,7,7,http://localhost:8080/api/logs/count?q=error,1,0,0
1759566991826,1,GET /api/logs/count,200,,Searchers 1-4,text,true,,461,134,7,7,http://localhost:8080/api/logs/count?q=error,1,0,0
1759566991957,2,GET /api/logs/search,200,,Searchers 1-7,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566992012,2,GET /api/logs/search,200,,Searchers 1-6,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566992097,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566992104,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759566992123,1,GET /api/logs/search,200,,Searchers 1-2,text,true,,462,143,7,7,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759566992148,1,GET /api/logs/count,200,,Searchers 1-5,text,true,,461,134,7,7,http://localhost:8080/api/logs/count?q=error,1,0,0
1759566992180,1,GET /api/logs/search,200,,Searchers 1-4,text,true,,462,143,8,8,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759566992201,1,GET /api/logs/count,200,,Searchers 1-7,text,true,,461,134,8,8,http://localhost:8080/api/logs/count?q=error,1,0,0
1759566992325,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,461,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
1759566992326,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,461,134,8,8,http://localhost:8080/api/logs/count?q=error,2,0,0
