timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759569254826,27,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,1,1,http://localhost:8080/api/logs/search?q=error&size=50,24,0,16
1759569255265,8,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,1,1,http://localhost:8080/api/logs/count?q=error,8,0,0
1759569255600,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569255824,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,2,0,1
1759569255896,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,2,2,http://localhost:8080/api/logs/count?q=error,2,0,0
1759569256155,3,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,2,2,http://localhost:8080/api/logs/count?q=error,3,0,0
1759569256268,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,2,2,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569256557,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569256624,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759569256851,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759569256874,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,2,0,1
1759569257085,3,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,3,0,0
1759569257127,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,2,0,0
1759569257255,1,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,3,3,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759569257343,1,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,3,3,http://localhost:8080/api/logs/count?q=error,1,0,0
1759569257522,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569257583,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569257585,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,1,0,0
1759569257760,3,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,3,0,1
1759569257833,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569257848,2,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759569257952,2,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759569258107,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,2,0,0
1759569258220,1,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,4,4,http://localhost:8080/api/logs/count?q=error,1,0,0
1759569258237,1,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759569258300,2,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,4,4,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569258538,1,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759569258618,1,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,1,0,0
1759569258676,2,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569258708,1,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,1,0,0
1759569258812,2,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,1
1759569258839,1,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759569258977,2,GET /api/logs/count,200,,Searchers 1-2,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,1,0,0
1759569259065,2,GET /api/logs/count,200,,Searchers 1-4,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759569259102,1,GET /api/logs/search,200,,Searchers 1-1,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759569259245,1,GET /api/logs/count,200,,Searchers 1-3,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,1,0,0
1759569259272,2,GET /api/logs/search,200,,Searchers 1-2,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569259309,2,GET /api/logs/count,200,,Searchers 1-5,text,true,,432,134,5,5,http://localhost:8080/api/logs/count?q=error,2,0,0
1759569259403,1,GET /api/logs/search,200,,Searchers 1-4,text,true,,433,143,5,5,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759569259541,2,GET /api/logs/search,200,,Searchers 1-3,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,2,0,0
1759569259569,1,GET /api/logs/search,200,,Searchers 1-5,text,true,,433,143,6,6,http://localhost:8080/api/logs/search?q=error&size=50,1,0,0
1759569259578,1,GET /api/logs/count,200,,Searchers 1-1,text,true,,432,134,6,6,http://localhost:8080/api/logs/count?q=error,1,0,0
